,,#,#,,,,#,#,#,,,,,,,,,,,#,,,,,,,,,,,,,,,,,#,#,,,,#,#,,,
,13115000,3,0,1,5,1,하의,카이립톤맨몸_하의,Item_Name_13115000,10103001,1,0,0,3,0,0,0,0,lower_0001,0,0,0,0,0,0,0,0,0,0,0,0,0,80101101,0,0,0,0,0,1,0,0,,,,,
,13116000,3,0,1,6,1,신발,카이립톤맨몸_신발,Item_Name_13116000,10103001,1,0,0,3,0,0,0,0,boots_0001,0,0,0,0,0,0,0,0,0,0,0,0,0,80101101,0,0,0,0,0,1,0,0,,,,,
,14110000,4,0,1,0,1,주무기,에이디아맨몸_주 무기,Item_Name_14110000,10104001,1,0,0,4,0,0,0,0,main_weapon_0001,0,0,0,0,0,0,0,0,0,0,0,0,0,80100101,0,0,0,0,0,1,0,0,,,,,
,14111000,4,0,1,1,1,보조무기,에이디아맨몸_보조무기,Item_Name_14111000,10104001,1,0,0,4,0,0,0,0,sub_weapon_0001,0,0,0,0,0,0,0,0,0,0,0,0,0,80100101,0,0,0,0,0,1,0,0,,,,,
,14112000,4,0,1,2,1,머리,에이디아맨몸_머리,Item_Name_14112000,10104001,1,0,0,4,0,0,0,0,head_0001,0,0,0,0,0,0,0,0,0,0,0,0,0,80101101,0,0,0,0,0,1,0,0,,,,,
,14113000,4,0,1,3,1,상의,에이디아맨몸_상의,Item_Name_14113000,10104001,1,0,0,4,0,0,0,0,upper_0001,0,0,0,0,0,0,0,0,0,0,0,0,0,80101101,0,0,0,0,0,1,0,0,,,,,
,14114000,4,0,1,4,1,보조방어구,에이디아맨몸_보조,Item_Name_14114000,10104001,1,0,0,4,0,0,0,0,sub_armor_0001,0,0,0,0,0,0,0,0,0,0,0,0,0,80101101,0,0,0,0,0,1,0,0,,,,,
,14115000,4,0,1,5,1,하의,에이디아맨몸_하의,Item_Name_14115000,10104001,1,0,0,4,0,0,0,0,lower_0001,0,0,0,0,0,0,0,0,0,0,0,0,0,80101101,0,0,0,0,0,1,0,0,,,,,
,14116000,4,0,1,6,1,신발,에이디아맨몸_신발,Item_Name_14116000,10104001,1,0,0,4,0,0,0,0,boots_0001,0,0,0,0,0,0,0,0,0,0,0,0,0,80101101,0,0,0,0,0,1,0,0,,,,,
,11110001,1,1,1,0,1,주무기,제노 액스,Item_Name_11110001,10101001,1,14000,20100,1,15,1,100,1,main_weapon_0001,item_bg_grade_01,drop_weapon_b,drop_item_weapon,0,0,0,0,0,0,0,10,1100010,0,80100101,0,0,0,0,1,1,1,1,11110001,제노 액스,,,
,11110002,1,2,1,0,1,주무기,매틱 액스,Item_Name_11110002,10101001,1,14000,20100,1,15,1,100,1,main_weapon_0001,item_bg_grade_01,drop_weapon_b,drop_item_weapon,0,0,0,0,0,0,0,10,1100020,0,80100101,0,0,0,0,1,1,1,1,11110011,제노 액스 2,,,
,11110003,1,3,1,0,1,주무기,제노 메탈 액스,Item_Name_11110003,10101001,1,14000,20100,1,15,1,100,1,main_weapon_0001,item_bg_grade_01,drop_weapon_b,drop_item_weapon,0,0,0,0,0,0,0,10,1100030,0,80100101,0,0,0,0,1,1,1,1,11110021,제노 액스 3,,,
,11120001,1,1,1,0,1,주무기,브리노 액스,Item_Name_11120001,10101001,2,14000,20100,1,15,1,100,1,main_weapon_0002,item_bg_grade_02,drop_weapon_b,drop_item_weapon,0,0,0,0,0,0,0,20,1200010,0,80100201,6000,2001,2000,0,1,1,1,1,11120001,브리노 액스,,,
,11120002,1,2,1,0,1,주무기,듀크 액스,Item_Name_11120002,10101001,2,14000,20100,1,15,1,100,1,main_weapon_0002,item_bg_grade_02,drop_weapon_b,drop_item_weapon,0,0,0,0,0,0,0,20,1200020,0,80100201,6000,2001,2000,0,1,1,1,1,11120011,브리노 액스 2,,,
,11120003,1,3,1,0,1,주무기,크림슨 나이트 액스,Item_Name_11120003,10101001,2,14000,20100,1,15,1,100,1,main_weapon_0002,item_bg_grade_02,drop_weapon_b,drop_item_weapon,0,0,0,0,0,0,0,20,1200030,0,80100201,6000,2001,2000,0,1,1,1,1,11120021,브리노 액스 3,,,
,11130001,1,1,1,0,1,주무기,메탈 액스,Item_Name_11130001,10101001,3,14000,20100,1,15,1,100,1,main_weapon_0003,item_bg_grade_03,drop_weapon_b,drop_item_weapon,0,0,0,0,0,0,0,30,1300010,1,80100301,6001,2003,3000,0,1,1,1,1,11130001,메탈 액스,,,
,11130002,1,2,1,0,1,주무기,파워메탈 액스,Item_Name_11130002,10101001,3,14000,20100,1,15,1,100,1,main_weapon_0003,item_bg_grade_03,drop_weapon_b,drop_item_weapon,0,0,0,0,0,0,0,30,1300020,1,80100301,6001,2003,3000,0,1,1,1,1,11130011,메탈 액스 2,,,
,11130003,1,3,1,0,1,주무기,테우르츠 액스,Item_Name_11130003,10101001,3,14000,20100,1,15,1,100,1,main_weapon_0003,item_bg_grade_03,drop_weapon_b,drop_item_weapon,0,0,0,0,0,0,0,30,1300030,1,80100301,6001,2003,3000,0,1,1,1,1,11130021,메탈 액스 3,,,
,11140001,1,1,1,0,1,주무기,블러드 액스,Item_Name_11140001,10101001,4,14000,20100,1,15,1,100,1,main_weapon_0004,item_bg_grade_04,drop_weapon_b,drop_item_weapon,0,0,0,0,0,0,0,40,1400010,1,80100401,6002,2005,4000,0,1,1,1,1,11140001,블러드 액스,,,
,11140002,1,2,1,0,1,주무기,파황 액스,Item_Name_11140002,10101001,4,14000,20100,1,15,1,100,1,main_weapon_0004,item_bg_grade_04,drop_weapon_b,drop_item_weapon,0,0,0,0,0,0,0,40,1400020,1,80100401,6002,2005,4000,0,1,1,1,1,11140011,블러드 액스 2,,,
,11140003,1,3,1,0,1,주무기,플래티늄 액스,Item_Name_11140003,10101001,4,14000,20100,1,15,1,100,1,main_weapon_0004,item_bg_grade_04,drop_weapon_b,drop_item_weapon,0,0,0,0,0,0,0,40,1400030,1,80100401,6002,2005,4000,0,1,1,1,1,11140021,블러드 액스 3,,,
,11150001,1,1,1,0,1,주무기,메르두크 액스,Item_Name_11150001,10101001,5,14000,20100,1,15,1,100,1,main_weapon_0005,item_bg_grade_05,drop_weapon_b,drop_item_weapon,0,0,0,0,0,0,0,50,1500010,1,80100501,6003,2007,5000,0,1,1,1,1,11150001,메르두크 액스,,,
,11150002,1,2,1,0,1,주무기,프란츠 액스,Item_Name_11150002,10101001,5,14000,20100,1,15,1,100,1,main_weapon_0005,item_bg_grade_05,drop_weapon_b,drop_item_weapon,0,0,0,0,0,0,0,50,1500020,1,80100501,6003,2007,5000,0,1,1,1,1,11150011,메르두크 액스 2,,,
,11150003,1,3,1,0,1,주무기,버닝 프란츠 액스,Item_Name_11150003,10101001,5,14000,20100,1,15,1,100,1,main_weapon_0005,item_bg_grade_05,drop_weapon_b,drop_item_weapon,0,0,0,0,0,0,0,50,1500030,1,80100501,6003,2007,5000,0,1,1,1,1,11150021,메르두크 액스 3,,,
,11160001,1,1,1,0,1,주무기,인페르니움 액스,Item_Name_11160001,10101001,6,14000,20100,1,15,1,100,1,main_weapon_0005,item_bg_grade_06,drop_weapon_b,drop_item_weapon,0,0,0,0,0,0,0,70,1600010,1,0,6004,2009,6000,0,1,1,1,1,11160001,인페르니움 액스,,,
#,11160002,1,2,1,0,1,주무기,크리거 액스,Item_Name_11160002,10101001,6,14000,20100,1,15,1,100,1,main_weapon_0005,item_bg_grade_06,drop_weapon_b,drop_item_weapon,0,0,0,0,0,0,0,70,1600010,1,0,6004,2009,6000,0,1,1,1,1,11160011,인페르니움 액스 2,,,
#,11160003,1,3,1,0,1,주무기,코닉플레임 액스,Item_Name_11160003,10101001,6,14000,20100,1,15,1,100,1,main_weapon_0005,item_bg_grade_06,drop_weapon_b,drop_item_weapon,0,0,0,0,0,0,0,70,1600010,1,0,6004,2009,6000,0,1,1,1,1,11160021,인페르니움 액스 3,,,
,12110001,2,1,1,0,1,주무기,마린 라이플,Item_Name_12110001,10102001,1,14000,20100,2,15,1,100,1,main_weapon_0001,item_bg_grade_01,drop_weapon_h,drop_item_weapon,0,0,0,0,0,0,0,10,2100010,0,80100101,0,0,0,0,1,1,1,1,12110001,마린 라이플,,,
,12110002,2,2,1,0,1,주무기,인팬트리 라이플,Item_Name_12110002,10102001,1,14000,20100,2,15,1,100,1,main_weapon_0001,item_bg_grade_01,drop_weapon_h,drop_item_weapon,0,0,0,0,0,0,0,10,2100020,0,80100101,0,0,0,0,1,1,1,1,12110011,마린 라이플 2,,,
,12110003,2,3,1,0,1,주무기,스커미셔 라이플,Item_Name_12110003,10102001,1,14000,20100,2,15,1,100,1,main_weapon_0001,item_bg_grade_01,drop_weapon_h,drop_item_weapon,0,0,0,0,0,0,0,10,2100030,0,80100101,0,0,0,0,1,1,1,1,12110021,마린 라이플 3,,,
,12120001,2,1,1,0,1,주무기,스카우트 라이플,Item_Name_12120001,10102001,2,14000,20100,2,15,1,100,1,main_weapon_0002,item_bg_grade_02,drop_weapon_h,drop_item_weapon,0,0,0,0,0,0,0,20,2200010,0,80100201,6000,2001,2000,0,1,1,1,1,12120001,스카우트 라이플,,,
,12120002,2,2,1,0,1,주무기,불릿프루프 라이플,Item_Name_12120002,10102001,2,14000,20100,2,15,1,100,1,main_weapon_0002,item_bg_grade_02,drop_weapon_h,drop_item_weapon,0,0,0,0,0,0,0,20,2200020,0,80100201,6000,2001,2000,0,1,1,1,1,12120011,스카우트 라이플 2,,,
,12120003,2,3,1,0,1,주무기,코발트 나이트 라이플,Item_Name_12120003,10102001,2,14000,20100,2,15,1,100,1,main_weapon_0002,item_bg_grade_02,drop_weapon_h,drop_item_weapon,0,0,0,0,0,0,0,20,2200030,0,80100201,6000,2001,2000,0,1,1,1,1,12120021,스카우트 라이플 3,,,
,12130001,2,1,1,0,1,주무기,어썰트 라이플,Item_Name_12130001,10102001,3,14000,20100,2,15,1,100,1,main_weapon_0003,item_bg_grade_03,drop_weapon_h,drop_item_weapon,0,0,0,0,0,0,0,30,2300010,1,80100301,6001,2003,3000,0,1,1,1,1,12130001,어썰트 라이플,,,
,12130002,2,2,1,0,1,주무기,택티컬 라이플,Item_Name_12130002,10102001,3,14000,20100,2,15,1,100,1,main_weapon_0003,item_bg_grade_03,drop_weapon_h,drop_item_weapon,0,0,0,0,0,0,0,30,2300020,1,80100301,6001,2003,3000,0,1,1,1,1,12130011,어썰트 라이플 2,,,
,12130003,2,3,1,0,1,주무기,셀베이션 라이플,Item_Name_12130003,10102001,3,14000,20100,2,15,1,100,1,main_weapon_0003,item_bg_grade_03,drop_weapon_h,drop_item_weapon,0,0,0,0,0,0,0,30,2300030,1,80100301,6001,2003,3000,0,1,1,1,1,12130021,어썰트 라이플 3,,,
,12140001,2,1,1,0,1,주무기,바이오닉 라이플,Item_Name_12140001,10102001,4,14000,20100,2,15,1,100,1,main_weapon_0004,item_bg_grade_04,drop_weapon_h,drop_item_weapon,0,0,0,0,0,0,0,40,2400010,1,80100401,6002,2005,4000,0,1,1,1,1,12140001,바이오닉 라이플,,,
,12140002,2,2,1,0,1,주무기,아쿠아마린 라이플,Item_Name_12140002,10102001,4,14000,20100,2,15,1,100,1,main_weapon_0004,item_bg_grade_04,drop_weapon_h,drop_item_weapon,0,0,0,0,0,0,0,40,2400020,1,80100401,6002,2005,4000,0,1,1,1,1,12140011,바이오닉 라이플 2,,,
,12140003,2,3,1,0,1,주무기,팔라듐 라이플,Item_Name_12140003,10102001,4,14000,20100,2,15,1,100,1,main_weapon_0004,item_bg_grade_04,drop_weapon_h,drop_item_weapon,0,0,0,0,0,0,0,40,2400030,1,80100401,6002,2005,4000,0,1,1,1,1,12140021,바이오닉 라이플 3,,,
,12150001,2,1,1,0,1,주무기,하르세스 라이플,Item_Name_12150001,10102001,5,14000,20100,2,15,1,100,1,main_weapon_0005,item_bg_grade_05,drop_weapon_h,drop_item_weapon,0,0,0,0,0,0,0,50,2500010,1,80100501,6003,2007,5000,0,1,1,1,1,12150001,하르세스 라이플,,,
,12150002,2,2,1,0,1,주무기,파이어마린 라이플,Item_Name_12150002,10102001,5,14000,20100,2,15,1,100,1,main_weapon_0005,item_bg_grade_05,drop_weapon_h,drop_item_weapon,0,0,0,0,0,0,0,50,2500020,1,80100501,6003,2007,5000,0,1,1,1,1,12150011,하르세스 라이플 2,,,
,12150003,2,3,1,0,1,주무기,위하르 라이플,Item_Name_12150003,10102001,5,14000,20100,2,15,1,100,1,main_weapon_0005,item_bg_grade_05,drop_weapon_h,drop_item_weapon,0,0,0,0,0,0,0,50,2500030,1,80100501,6003,2007,5000,0,1,1,1,1,12150021,하르세스 라이플 3,,,
,12160001,2,1,1,0,1,주무기,아카트 라이플,Item_Name_12160001,10102001,6,14000,20100,2,15,1,100,1,main_weapon_0005,item_bg_grade_06,drop_weapon_h,drop_item_weapon,0,0,0,0,0,0,0,70,2600010,1,0,6004,2009,6000,0,1,1,1,1,12160001,아카트 라이플,,,
#,12160002,2,2,1,0,1,주무기,뱅퀴쉬 라이플,Item_Name_12160002,10102001,6,14000,20100,2,15,1,100,1,main_weapon_0005,item_bg_grade_06,drop_weapon_h,drop_item_weapon,0,0,0,0,0,0,0,70,2600010,1,0,6004,2009,6000,0,1,1,1,1,12160011,아카트 라이플 2,,,
#,12160003,2,3,1,0,1,주무기,이지스 라이플,Item_Name_12160003,10102001,6,14000,20100,2,15,1,100,1,main_weapon_0005,item_bg_grade_06,drop_weapon_h,drop_item_weapon,0,0,0,0,0,0,0,70,2600010,1,0,6004,2009,6000,0,1,1,1,1,12160021,아카트 라이플 3,,,
,13110001,3,1,1,0,1,주무기,윈드스톰 스태프,Item_Name_13110001,10103001,1,14000,20100,3,15,1,100,1,main_weapon_0001,item_bg_grade_01,drop_weapon_k,drop_item_weapon,0,0,0,0,0,0,0,10,3100010,0,80100101,0,0,0,0,1,1,1,1,13110001,윈드스톰 스태프,,,
,13110002,3,2,1,0,1,주무기,마쉬 스태프,Item_Name_13110002,10103001,1,14000,20100,3,15,1,100,1,main_weapon_0001,item_bg_grade_01,drop_weapon_k,drop_item_weapon,0,0,0,0,0,0,0,10,3100020,0,80100101,0,0,0,0,1,1,1,1,13110011,윈드스톰 스태프 2,,,
,13110003,3,3,1,0,1,주무기,마그네틱 스태프,Item_Name_13110003,10103001,1,14000,20100,3,15,1,100,1,main_weapon_0001,item_bg_grade_01,drop_weapon_k,drop_item_weapon,0,0,0,0,0,0,0,10,3100030,0,80100101,0,0,0,0,1,1,1,1,13110021,윈드스톰 스태프 3,,,
,13120001,3,1,1,0,1,주무기,클라우드 스태프,Item_Name_13120001,10103001,2,14000,20100,3,15,1,100,1,main_weapon_0002,item_bg_grade_02,drop_weapon_k,drop_item_weapon,0,0,0,0,0,0,0,20,3200010,0,80100201,6000,2002,2000,0,1,1,1,1,13120001,클라우드 스태프,,,
,13120002,3,2,1,0,1,주무기,플레임 스태프,Item_Name_13120002,10103001,2,14000,20100,3,15,1,100,1,main_weapon_0002,item_bg_grade_02,drop_weapon_k,drop_item_weapon,0,0,0,0,0,0,0,20,3200020,0,80100201,6000,2002,2000,0,1,1,1,1,13120011,클라우드 스태프 2,,,
,13120003,3,3,1,0,1,주무기,오레올린 나이트 스태프,Item_Name_13120003,10103001,2,14000,20100,3,15,1,100,1,main_weapon_0002,item_bg_grade_02,drop_weapon_k,drop_item_weapon,0,0,0,0,0,0,0,20,3200030,0,80100201,6000,2002,2000,0,1,1,1,1,13120021,클라우드 스태프 3,,,
,13130001,3,1,1,0,1,주무기,사일런스 스태프,Item_Name_13130001,10103001,3,14000,20100,3,15,1,100,1,main_weapon_0003,item_bg_grade_03,drop_weapon_k,drop_item_weapon,0,0,0,0,0,0,0,30,3300010,1,80100301,6001,2004,3000,0,1,1,1,1,13130001,사일런스 스태프,,,
,13130002,3,2,1,0,1,주무기,블리자드 스태프,Item_Name_13130002,10103001,3,14000,20100,3,15,1,100,1,main_weapon_0003,item_bg_grade_03,drop_weapon_k,drop_item_weapon,0,0,0,0,0,0,0,30,3300020,1,80100301,6001,2004,3000,0,1,1,1,1,13130011,사일런스 스태프 2,,,
,13130003,3,3,1,0,1,주무기,스펠 스태프,Item_Name_13130003,10103001,3,14000,20100,3,15,1,100,1,main_weapon_0003,item_bg_grade_03,drop_weapon_k,drop_item_weapon,0,0,0,0,0,0,0,30,3300030,1,80100301,6001,2004,3000,0,1,1,1,1,13130021,사일런스 스태프 3,,,
,13140001,3,1,1,0,1,주무기,소울 스태프,Item_Name_13140001,10103001,4,14000,20100,3,15,1,100,1,main_weapon_0004,item_bg_grade_04,drop_weapon_k,drop_item_weapon,0,0,0,0,0,0,0,40,3400010,1,80100401,6002,2006,4000,0,1,1,1,1,13140001,소울 스태프,,,
,13140002,3,2,1,0,1,주무기,스타라이트 스태프,Item_Name_13140002,10103001,4,14000,20100,3,15,1,100,1,main_weapon_0004,item_bg_grade_04,drop_weapon_k,drop_item_weapon,0,0,0,0,0,0,0,40,3400020,1,80100401,6002,2006,4000,0,1,1,1,1,13140011,소울 스태프 2,,,
,13140003,3,3,1,0,1,주무기,이리듐 스태프,Item_Name_13140003,10103001,4,14000,20100,3,15,1,100,1,main_weapon_0004,item_bg_grade_04,drop_weapon_k,drop_item_weapon,0,0,0,0,0,0,0,40,3400030,1,80100401,6002,2006,4000,0,1,1,1,1,13140021,소울 스태프 3,,,
,13150001,3,1,1,0,1,주무기,루크 스태프,Item_Name_13150001,10103001,5,14000,20100,3,15,1,100,1,main_weapon_0005,item_bg_grade_05,drop_weapon_k,drop_item_weapon,0,0,0,0,0,0,0,50,3500010,1,80100501,6003,2008,5000,0,1,1,1,1,13150001,루크 스태프,,,
,13150002,3,2,1,0,1,주무기,마그마 스태프,Item_Name_13150002,10103001,5,14000,20100,3,15,1,100,1,main_weapon_0005,item_bg_grade_05,drop_weapon_k,drop_item_weapon,0,0,0,0,0,0,0,50,3500020,1,80100501,6003,2008,5000,0,1,1,1,1,13150011,루크 스태프 2,,,
,13150003,3,3,1,0,1,주무기,미스틱 루크 스태프,Item_Name_13150003,10103001,5,14000,20100,3,15,1,100,1,main_weapon_0005,item_bg_grade_05,drop_weapon_k,drop_item_weapon,0,0,0,0,0,0,0,50,3500030,1,80100501,6003,2008,5000,0,1,1,1,1,13150021,루크 스태프 3,,,
,13160001,3,1,1,0,1,주무기,컨쥬어 스태프,Item_Name_13160001,10103001,6,14000,20100,3,15,1,100,1,main_weapon_0005,item_bg_grade_06,drop_weapon_k,drop_item_weapon,0,0,0,0,0,0,0,70,3600010,1,0,6004,2010,6000,0,1,1,1,1,13160001,컨쥬어 스태프,,,
#,13160002,3,2,1,0,1,주무기,블레이즈 스태프,Item_Name_13160002,10103001,6,14000,20100,3,15,1,100,1,main_weapon_0005,item_bg_grade_06,drop_weapon_k,drop_item_weapon,0,0,0,0,0,0,0,70,3600010,1,0,6004,2010,6000,0,1,1,1,1,13160011,컨쥬어 스태프 2,,,
#,13160003,3,3,1,0,1,주무기,마나인플런스 스태프,Item_Name_13160003,10103001,6,14000,20100,3,15,1,100,1,main_weapon_0005,item_bg_grade_06,drop_weapon_k,drop_item_weapon,0,0,0,0,0,0,0,70,3600010,1,0,6004,2010,6000,0,1,1,1,1,13160021,컨쥬어 스태프 3,,,
,14110001,4,1,1,0,1,주무기,자비 링,Item_Name_14110001,10104001,1,14000,20100,4,15,1,100,1,main_weapon_0001,item_bg_grade_01,drop_weapon_a,drop_item_weapon,0,0,0,0,0,0,0,10,4100010,0,80100101,0,0,0,0,1,1,1,1,14110001,자비 링,,,
,14110002,4,2,1,0,1,주무기,호프 링,Item_Name_14110002,10104001,1,14000,20100,4,15,1,100,1,main_weapon_0001,item_bg_grade_01,drop_weapon_a,drop_item_weapon,0,0,0,0,0,0,0,10,4100020,0,80100101,0,0,0,0,1,1,1,1,14110011,자비 링 2,,,
,14110003,4,3,1,0,1,주무기,크리스탈 링,Item_Name_14110003,10104001,1,14000,20100,4,15,1,100,1,main_weapon_0001,item_bg_grade_01,drop_weapon_a,drop_item_weapon,0,0,0,0,0,0,0,10,4100030,0,80100101,0,0,0,0,1,1,1,1,14110021,자비 링 3,,,
