,,#,#,#,#,#,,,,,,#,#,#,#, ,,,,,,,,,,,,,,,,,,,,,,#,#,#,#,#,,,#,#,,#,#,#,#,#
,23015008,008,Item_Name_23015008,중형 전기력 회복약 (귀속),Item_Desc_23015008,케릭터 전기력 [n1]만큼 즉시 회복,2,30,2,1,100,X,O,X,X,0,0,1916,1,65,5000,1,1000,10000,1,10,0,0,0,0,0,0,item_potion_recover_electirc_002,drop_item_potion,drop_item_potion,2,1201,Item_Name_23015008,중형 전기력 회복약,Item_Desc_23015008,전기력을 즉시 회복시켜 줍니다.<br><br>(휴먼 전용)<br><br>전기력 + [n1],1,1,1,,,,회복,가능,불가,가능,가능
,23015009,009,Item_Name_23015009,대형 전기력 회복약 (귀속),Item_Desc_23015009,케릭터 전기력 [n1]만큼 즉시 회복,2,30,2,1,100,X,O,X,X,0,0,1916,1,120,5000,1,1000,10000,1,10,0,0,0,0,0,0,item_potion_recover_electirc_003,drop_item_potion,drop_item_potion,2,1201,Item_Name_23015009,대형 전기력 회복약,Item_Desc_23015009,전기력을 즉시 회복시켜 줍니다.<br><br>(휴먼 전용)<br><br>전기력 + [n1],1,1,1,,,,회복,가능,불가,가능,가능
,23015010,010,Item_Name_23015010,소형 마나 회복약 (귀속),Item_Desc_23015010,케릭터 마나 [n1]만큼 즉시 회복,2,30,2,1,100,X,X,O,O,0,0,1917,1,35,5000,1,1000,10000,1,10,0,0,0,0,0,0,item_potion_recover_mana_001,drop_item_potion,drop_item_potion,12,1201,Item_Name_23015010,소형 마나 회복약,Item_Desc_23015010,마나를 즉시 회복시켜 줍니다.<br><br>(카이립톤/에이디아 전용)<br><br>마나 + [n1],1,1,1,,,,회복,가능,불가,가능,가능
,23015011,011,Item_Name_23015011,중형 마나 회복약 (귀속),Item_Desc_23015011,케릭터 마나 [n1]만큼 즉시 회복,2,30,2,1,100,X,X,O,O,0,0,1917,1,65,5000,1,1000,10000,1,10,0,0,0,0,0,0,item_potion_recover_mana_002,drop_item_potion,drop_item_potion,12,1201,Item_Name_23015011,중형 마나 회복약,Item_Desc_23015011,마나를 즉시 회복시켜 줍니다.<br><br>(카이립톤/에이디아 전용)<br><br>마나 + [n1],1,1,1,,,,회복,가능,불가,가능,가능
,23015012,012,Item_Name_23015012,대형 마나 회복약 (귀속),Item_Desc_23015012,케릭터 마나 [n1]만큼 즉시 회복,2,30,2,1,100,X,X,O,O,0,0,1917,1,120,5000,1,1000,10000,1,10,0,0,0,0,0,0,item_potion_recover_mana_003,drop_item_potion,drop_item_potion,12,1201,Item_Name_23015012,대형 마나 회복약,Item_Desc_23015012,마나를 즉시 회복시켜 줍니다.<br><br>(카이립톤/에이디아 전용)<br><br>마나 + [n1],1,1,1,,,,회복,가능,불가,가능,가능
,23115001,001,Item_Name_23115001,버프 물약 : 이동속도 증가 (귀속),Item_Desc_23115001,사용 시 일정 시간 동안 이동속도 +10%,2,31,0,1,500,O,O,O,O,0,0,310011,0,0,1000,1,1000,1000,1,10,0,0,0,0,0,0,item_potion_buff_001,drop_item_potion,drop_item_potion,15,1202,Item_Name_23115001,이동속도 증가 물약,Item_Desc_23115001,300초 동안 이동 속도가 증가합니다.<br><br>이동 속도 + 15%,1,1,1,,,,버프,가능,불가,가능,가능
,23115002,002,Item_Name_23115002,버프 물약 : 무게 증가 (귀속),Item_Desc_23115002,사용 시 일정 시간 동안 인벤토리 최대 무게 +300,2,31,0,1,500,O,O,O,O,0,0,310021,0,0,1000,1,1000,1000,1,10,0,0,0,0,0,0,item_potion_buff_002,drop_item_potion,drop_item_potion,15,1202,Item_Name_23115002,무게 증가 물약,Item_Desc_23115002,1200초 동안 무게가 증가합니다.<br><br>무게 + 300,1,1,1,,,,버프,가능,불가,가능,가능
,23115003,003,Item_Name_23115003,버프 물약 : 공격속도 증가 (공통) (귀속),Item_Desc_23115003,사용 시 일정 시간 동안 공격속도 +10%,2,31,0,1,500,O,O,O,O,0,0,310031,0,0,1000,1,1000,1000,1,10,0,0,0,0,0,0,item_potion_buff_003,drop_item_potion,drop_item_potion,15,1202,Item_Name_23115003,공격속도 증가 물약,Item_Desc_23115003,300초 동안 공격 속도가 증가합니다.<br><br>공격 속도 + 10%,1,1,1,,,,버프,가능,불가,가능,가능
,23115004,004,Item_Name_23115004,버프 물약 : 물리대미지 증가 (귀속),Item_Desc_23115004,사용 시 일정 시간 동안 최소/최대 물리대미지 +1(불칸 전용),2,31,1,1,500,O,X,X,X,0,0,310041,0,0,1000,1,1000,1000,1,10,0,0,0,0,0,0,item_potion_buff_004,drop_item_potion,drop_item_potion,1,1202,Item_Name_23115004,용맹의 비약,Item_Desc_23115004,600초 동안 물리 대미지가 증가합니다. <br><br>(불칸 전용)<br><br>최소 물리 대미지 + 1<br>최대 물리 대미지 + 1,1,1,1,,,,버프,가능,불가,가능,가능
,23115005,005,Item_Name_23115005,버프 물약 : 공격속도 증가 (귀속),Item_Desc_23115005,사용 시 일정 시간 동안 공격속도 +5%(휴먼 전용),2,31,2,1,500,X,O,X,X,0,0,310051,0,0,1000,1,1000,1000,1,10,0,0,0,0,0,0,item_potion_buff_005,drop_item_potion,drop_item_potion,2,1202,Item_Name_23115005,신속의 비약,Item_Desc_23115005,600초 동안 공격 속도가 증가합니다. <br><br>(휴먼 전용) <br><br>공격 속도 + 5%,1,1,1,,,,버프,가능,불가,가능,가능
,23115006,006,Item_Name_23115006,버프 물약 : 마법대미지 증가 (귀속),Item_Desc_23115006,사용 시 일정 시간 동안 최소/최대 마법대미지 +1(카이립톤/에이디아 전용),2,31,3,1,500,X,X,O,X,0,0,310061,0,0,1000,1,1000,1000,1,10,0,0,0,0,0,0,item_potion_buff_006,drop_item_potion,drop_item_potion,4,1202,Item_Name_23115006,투지 비약,Item_Desc_23115006,600초 동안 마법 대미지가 증가합니다. <br><br>(카이립톤 전용)<br><br>최소 마법 대미지 + 1<br>최대 마법 대미지 + 1,1,1,1,,,,버프,가능,불가,가능,가능
,23115007,007,Item_Name_23115007,버프 물약 : 힘 증가 (귀속),Item_Desc_23115007,사용 시 일정 시간 동안 힘 +3(불칸/휴먼 전용),2,31,0,1,500,O,X,X,X,0,0,310071,0,0,1000,1,1000,1000,1,10,0,0,0,0,0,0,item_potion_buff_107,drop_item_potion,drop_item_potion,1,1202,Item_Name_23115007,스트로크의 영약,Item_Desc_23115007,600초 동안 힘이 증가합니다. <br><br>(불칸 전용)<br><br>힘 + 3,1,1,1,,,,버프,가능,불가,가능,가능
,23115008,008,Item_Name_23115008,버프 물약 : 기민성 증가 (귀속),Item_Desc_23115008,사용 시 일정 시간 동안 기민성 +3(불칸/휴먼 전용),2,31,0,1,500,X,O,X,X,0,0,310081,0,0,1000,1,1000,1000,1,10,0,0,0,0,0,0,item_potion_buff_108,drop_item_potion,drop_item_potion,2,1202,Item_Name_23115008,발렌타인의 영약,Item_Desc_23115008,600초 동안 기민성이 증가합니다. <br><br>(휴먼 전용)<br><br>기민성 + 3,1,1,1,,,,버프,가능,불가,가능,가능
,23115009,009,Item_Name_23115009,버프 물약 : 지혜 증가 (귀속),Item_Desc_23115009,사용 시 일정 시간 동안 지혜 +3(카이립톤/에이디아 전용),2,31,0,1,500,X,X,O,X,0,0,310091,0,0,1000,1,1000,1000,1,10,0,0,0,0,0,0,item_potion_buff_109,drop_item_potion,drop_item_potion,4,1202,Item_Name_23115009,커크의 영약,Item_Desc_23115009,600초 동안 지혜가 증가합니다. <br><br>(카이립톤 전용)<br><br>지혜 + 3,1,1,1,,,,버프,가능,불가,가능,가능
,23115010,010,Item_Name_23115010,버프 음식 : 화성 라면 (귀속),Item_Desc_23115010,사용 시 일정 시간 동안 물리대미지 +2^ 명중 +1^ 체력/보조자원 회복 +0.2%^ 피격 물리 대미지 감소 +2(불칸/휴먼 전용),2,31,0,3,1000,O,X,X,X,0,0,310101,0,0,1000,1,1000,1000,1,10,0,0,0,0,0,0,item_food_buff_001,drop_item_potion,drop_item_potion,1,1202,Item_Name_23115010,화성 라면,Item_Desc_23115010,1800초 동안 체력 재생^ 스킬 자원 재생^ 최소 물리 대미지^ 최대 물리 대미지^ 물리 방어력^ 마법 방어력^ 명중^이 증가합니다.<br><br>(불칸 전용)<br><br>체력 재생 + 2<br>스킬 자원 재생 + 2<br>최소 물리 대미지 + 2<br>최대 물리 대미지 + 2<br>물리 방어력 + 2<br>마법 방어력 + 2<br>명중 + 1,1,1,1,,,,버프,가능,불가,가능,가능
,23115011,011,Item_Name_23115011,버프 음식 : 카시오페아 칠면조 튀김 (귀속),Item_Desc_23115011,사용 시 일정 시간 동안 전체 속성대미지 +2^ 체력회복 +0.2%^ 보조자원 회복 +0.4%^ 피격 마법 대미지 감소 +2(카이립톤 전용),2,31,0,3,1000,X,X,O,X,0,0,310111,0,0,1000,1,1000,1000,1,10,0,0,0,0,0,0,item_food_buff_002,drop_item_potion,drop_item_potion,4,1202,Item_Name_23115011,카시오페아 칠면조 튀김,Item_Desc_23115011,1800초 동안 체력 재생^ 스킬 자원 재생^ 물리 방어력^ 마법 방어력^ 파이어 속성 대미지^ 아이스 속성 대미지^ 윈드 속성 대미지^ 스톤 속성 대미지가 증가합니다.<br><br>(카이립톤 전용)<br><br>체력 재생 + 2<br>스킬 자원 재생 + 3<br>물리 방어력 + 2<br>마법 방어력 + 2<br>파이어 속성 대미지 + 1<br>아이스 속성 대미지 + 1<br>윈드 속성 대미지 + 1<br>스톤 속성 대미지 + 1,1,1,1,,,,버프,가능,불가,가능,가능
,23115012,012,Item_Name_23115012,버프 음식 : 명왕성 치킨 (귀속),Item_Desc_23115012,사용 시 일정 시간 동안 마법대미지 +2^ 명중 +1^ 체력/보조자원 회복 +0.2%^ 피격 마법 대미지 감소 +2(에이디아 전용),2,31,0,3,1000,X,X,X,O,0,0,310121,0,0,1000,1,1000,1000,1,10,0,0,0,0,0,0,item_food_buff_003,drop_item_potion,drop_item_potion,8,1202,Item_Name_23115012,명왕성 치킨,Item_Desc_23115012,1800초 동안 체력 재생^ 스킬 자원 재생^ 최소 마법 대미지^ 최대 마법 대미지^ 물리 방어력^ 마법 방어력이 증가합니다.<br><br>(에이디아 전용)<br><br>체력 재생 + 2<br>스킬 자원 재생 + 2<br>최소 마법 대미지 + 2<br>최대 마법 대미지 + 2<br>물리 방어력 + 2<br>마법 방어력 + 2<br>명중 + 1,1,1,1,,,,버프,가능,불가,가능,가능
,23115013,013,Item_Name_23115013,버프 물약 : 파이어 대미지 증가 (귀속),Item_Desc_23115013,사용 시 일정 시간 동안 파이어 대미지 +2,2,31,0,1,500,O,O,O,O,0,0,310131,0,0,1000,1,1000,1000,1,10,0,0,0,0,0,0,item_potion_buff_201,drop_item_potion,drop_item_potion,15,1202,Item_Name_23115013,파이어 대미지 증가 비약,Item_Desc_23115013,180초 동안 파이어 속성 대미지가 증가합니다.<br><br>파이어 속성 대미지 + 2,1,1,1,,,,버프,가능,불가,가능,가능
,23115014,014,Item_Name_23115014,버프 물약 : 아이스 대미지 증가 (귀속),Item_Desc_23115014,사용 시 일정 시간 동안 아이스 대미지 +2,2,31,0,1,500,O,O,O,O,0,0,310141,0,0,1000,1,1000,1000,1,10,0,0,0,0,0,0,item_potion_buff_202,drop_item_potion,drop_item_potion,15,1202,Item_Name_23115014,아이스 대미지 증가 비약,Item_Desc_23115014,180초 동안 아이스 속성 대미지가 증가합니다.<br><br>아이스 속성 대미지 + 2,1,1,1,,,,버프,가능,불가,가능,가능
,23115015,015,Item_Name_23115015,버프 물약 : 윈드 대미지 증가 (귀속),Item_Desc_23115015,사용 시 일정 시간 동안 윈드 대미지 +2,2,31,0,1,500,O,O,O,O,0,0,310151,0,0,1000,1,1000,1000,1,10,0,0,0,0,0,0,item_potion_buff_203,drop_item_potion,drop_item_potion,15,1202,Item_Name_23115015,윈드 대미지 증가 비약,Item_Desc_23115015,180초 동안 윈드 속성 대미지가 증가합니다.<br><br>윈드 속성 대미지 + 2,1,1,1,,,,버프,가능,불가,가능,가능
,23115016,016,Item_Name_23115016,버프 물약 : 스톤 대미지 증가 (귀속),Item_Desc_23115016,사용 시 일정 시간 동안 스톤 대미지 +2,2,31,0,1,500,O,O,O,O,0,0,310161,0,0,1000,1,1000,1000,1,10,0,0,0,0,0,0,item_potion_buff_204,drop_item_potion,drop_item_potion,15,1202,Item_Name_23115016,스톤 대미지 증가 비약,Item_Desc_23115016,180초 동안 스톤 속성 대미지가 증가합니다.<br><br>스톤 속성 대미지 + 2,1,1,1,,,,버프,가능,불가,가능,가능
,23115017,017,Item_Name_23115017,버프 물약 : 경험치 증가 (귀속),Item_Desc_23115017,사용 시 일정 시간 동안 획득 경험치 +20%,2,31,0,1,500,O,O,O,O,0,0,310171,0,0,1000,1,1000,1000,1,10,0,0,0,0,0,0,item_potion_buff_101,drop_item_potion,drop_item_potion,15,1202,Item_Name_23115017,경험치 증가 비약,Item_Desc_23115017,3600초 동안 경험치 획득량이 증가합니다.<br><br>경험치 획득량 + 20%,1,1,1,,,,버프,가능,불가,가능,가능
,23115018,018,Item_Name_23115018,버프 물약 : 라임 증가 (귀속),Item_Desc_23115018,사용 시 일정 시간 동안 획득 라임 +20%,2,31,0,1,500,O,O,O,O,0,0,310181,0,0,1000,1,1000,1000,1,10,0,0,0,0,0,0,item_potion_buff_105,drop_item_potion,drop_item_potion,15,1202,Item_Name_23115018,라임 증가 비약,Item_Desc_23115018,3600초 동안 라임 획득량이 증가합니다.<br><br>라임 획득량 + 20%,1,1,1,,,,버프,가능,불가,가능,가능
,23115019,019,Item_Name_23115019,버프 물약 : 아이템 획득확률 증가 (귀속),Item_Desc_23115019,사용 시 일정 시간 동안 몬스터 처치 시 아이템 획득확률 +10%,2,31,0,1,500,O,O,O,O,0,0,310191,0,0,1000,1,1000,1000,1,10,0,0,0,0,0,0,item_potion_buff_106,drop_item_potion,drop_item_potion,15,1202,Item_Name_23115019,아이템 획득확률 증가 비약,Item_Desc_23115019,3600초 동안 아이템 획득확률이 증가합니다.<br><br>아이템 획득 확률 + 10%,1,1,1,,,,버프,가능,불가,가능,가능
,23115020,020,Item_Name_23115020,버프 물약 : PK 물리 대미지 증가 (귀속),Item_Desc_23115020,사용 시 일정 시간 동안 PK 진행 시 물리 대미지 +3,2,31,0,1,500,O,O,X,X,0,0,310201,0,0,1000,1,1000,1000,1,10,0,0,0,0,0,0,item_potion_buff_104,drop_item_potion,drop_item_potion,3,1202,Item_Name_23115020,PK 물리 대미지 증가 비약,Item_Desc_23115020,1200초 동안 PK 대미지가 증가합니다.<br><br>PVP 물리 최소 대미지 + 3<br>PVP 물리 최대 대미지 + 3,1,1,1,,,,버프,가능,불가,가능,가능
,23115021,021,Item_Name_23115021,버프 물약 : 채집속도 증가 (귀속),Item_Desc_23115021,사용 시 일정 시간 동안 채집속도 +20%,2,31,0,1,500,O,O,O,O,0,0,310211,0,0,1000,1,1000,1000,1,10,0,0,0,0,0,0,item_potion_buff_102,drop_item_potion,drop_item_potion,15,1202,Item_Name_23115021,채집속도 증가 비약,Item_Desc_23115021,1200초 동안 채집 속도가 증가합니다.<br><br>채집 속도 + 50%,1,1,1,,,,버프,가능,불가,가능,가능
,23115022,022,Item_Name_23115022,버프 물약 : PK 마법 대미지 증가 (귀속),Item_Desc_23115022,사용 시 일정 시간 동안 PK 진행 시 마법 대미지 +3,2,31,0,1,500,X,X,O,O,0,0,310221,0,0,1000,1,1000,1000,1,10,0,0,0,0,0,0,item_potion_buff_103,drop_item_potion,drop_item_potion,12,1202,Item_Name_23115022,PK 마법 대미지 증가 비약,Item_Desc_23115022,1200초 동안 PK 대미지가 증가합니다.<br><br>PVP 마법 최소 대미지 + 3<br>PVP 마법 최대 대미지 + 3,1,1,1,,,,버프,가능,불가,가능,가능
,23115023,023,Item_Name_23115023,버프 물약 : 햄버거,Item_Desc_23115023,음슴,2,31,0,3,1000,X,O,X,X,0,0,310101,0,0,1000,1,1000,1000,1,10,0,0,0,0,0,0,item_food_buff_004,drop_item_potion,drop_item_potion,2,1202,Item_Name_23115023,안드로메다 버거,Item_Desc_23115023,1800초 동안 체력 재생^ 스킬 자원 재생^ 최소 물리 대미지^ 최대 물리 대미지^ 물리 방어력^ 마법 방어력^ 명중^이 증가합니다.<br><br>(휴먼 전용)<br><br>체력 재생 + 2<br>스킬 자원 재생 + 2<br>최소 물리 대미지 + 2<br>최대 물리 대미지 + 2<br>물리 방어력 + 2<br>마법 방어력 + 2<br>명중 + 1,1,1,1,,,,버프,가능,불가,가능,가능
,23115024,024,Item_Name_23115024,버프 물약 : 지혜 증가_에이디아 (귀속),Item_Desc_23115024,음슴,2,31,0,1,500,X,X,X,O,0,0,310091,0,0,1000,1,1000,1000,1,10,0,0,0,0,0,0,item_potion_buff_110,drop_item_potion,drop_item_potion,8,1202,Item_Name_23115024,이안의 영약,Item_Desc_23115024,600초 동안 지혜가 증가합니다. <br><br>(에이디아 전용)<br><br>지혜 + 3,1,1,1,,,,버프,가능,불가,가능,가능
,23115025,025,Item_Name_23115025,버프 물약 : 마법대미지 증가_에이디아 (귀속),Item_Desc_23115025,음슴,2,31,0,1,500,X,X,X,O,0,0,310061,0,0,1000,1,1000,1000,1,10,0,0,0,0,0,0,item_potion_buff_007,drop_item_potion,drop_item_potion,8,1202,Item_Name_23115025,축복의 비약,Item_Desc_23115025,600초 동안 마법 대미지가 증가합니다. <br><br>(에이디아 전용)<br>최소 마법 대미지 + 1<br>최대 마법 대미지 + 1,1,1,1,,,,버프,가능,불가,가능,가능
,23215001,001,Item_Name_23215001,만능약 (귀속),Item_Desc_23215001,사용 시 모든 상태이상 즉시 해제,2,32,0,1,1000,O,O,O,O,0,0,2912,0,10000,1000,1,1000,10000,1,10,0,0,0,0,0,0,item_potion_antidote_001,drop_item_potion,drop_item_potion,15,1203,Item_Name_23215001,만능약,Item_Desc_23215001,모든 상태이상을 즉시 해제할 수 있는 신비한 만능약,1,1,1,,,,디버프 해제,가능,불가,가능,가능
,23215002,002,Item_Name_23215002,해독제 (귀속),Item_Desc_23215002,사용 시 100% 확률로 중독 상태 해제,2,32,0,1,1000,O,O,O,O,0,0,2915,0,10000,1000,1,1000,10000,1,10,0,0,0,0,0,0,item_decardi_quest_012,drop_item_potion,drop_item_potion,15,1203,Item_Name_23215002,해독제,Item_Desc_23215002,100% 확률로 중독 상태를 해제할 수 있는 해독제,1,1,1,,,,디버프 해제,가능,불가,가능,가능
,23215003,003,Item_Name_23215003,지혈제 (귀속),Item_Desc_23215003,사용 시 100% 확률로 출혈 상태 해제,2,32,0,1,1000,O,O,O,O,0,0,2916,0,10000,1000,1,1000,10000,1,10,0,0,0,0,0,0,item_decardi_quest_013,drop_item_potion,drop_item_potion,15,1203,Item_Name_23215003,지혈제,Item_Desc_23215003,100% 확률로 출혈 상태를 해제할 수 있는 지혈제,1,1,1,,,,디버프 해제,가능,불가,가능,가능
,23300001,001,Item_Name_23300001,일반 공격 보석 1번,Item_Desc_23300001,음슴,3,33,0,1,0,O,O,O,O,0,0,1203,0,1,0,0,1000,10000,0,0,1,0,0,30100,8,0,item_material_jewel_001,drop_item_receiver,drop_item_aid,15,1302,Item_Name_23300001,1단계 붉은색 보석 - 알파,Item_Desc_23300001,장비에 장착 시 다음의 효과를 얻을 수 있습니다.<br>최대 물리 대미지 + 1,1,1,1,,,,,불가,가능,,
,23300002,002,Item_Name_23300002,일반 공격 보석 2번,Item_Desc_23300002,음슴,3,33,0,1,0,O,O,O,O,0,0,1207,0,1,0,0,1000,10000,0,0,1,0,0,30100,8,0,item_material_jewel_002,drop_item_receiver,drop_item_aid,15,1302,Item_Name_23300002,1단계 붉은색 보석 - 베타,Item_Desc_23300002,장비에 장착 시 다음의 효과를 얻을 수 있습니다.<br>최대 마법 대미지 + 1,1,1,1,,,,,,,,
,23300003,003,Item_Name_23300003,일반 공격 보석 3번,Item_Desc_23300003,음슴,3,33,0,1,0,O,O,O,O,0,0,5002,0,1,0,0,1000,10000,0,0,1,0,0,30100,8,0,item_material_jewel_003,drop_item_receiver,drop_item_aid,15,1302,Item_Name_23300003,1단계 붉은색 보석 - 감마,Item_Desc_23300003,장비에 장착 시 다음의 효과를 얻을 수 있습니다.<br>PvP 최대 물리 대미지 + 1,1,1,1,,,,,,,,
,23300004,004,Item_Name_23300004,일반 공격 보석 4번,Item_Desc_23300004,음슴,3,33,0,1,0,O,O,O,O,0,0,5004,0,1,0,0,1000,10000,0,0,1,0,0,30100,8,0,item_material_jewel_004,drop_item_receiver,drop_item_aid,15,1302,Item_Name_23300004,1단계 붉은색 보석 - 입실론,Item_Desc_23300004,장비에 장착 시 다음의 효과를 얻을 수 있습니다.<br>PvP 최대 마법 대미지 + 1,1,1,1,,,,,,,,
,23300005,005,Item_Name_23300005,일반 공격 보석 5번,Item_Desc_23300005,음슴,3,33,0,1,0,O,O,O,O,0,0,5034,0,1,0,0,1000,10000,0,0,1,0,0,30100,8,0,item_material_jewel_005,drop_item_receiver,drop_item_aid,15,1302,Item_Name_23300005,1단계 붉은색 보석 - 세타,Item_Desc_23300005,장비에 장착 시 다음의 효과를 얻을 수 있습니다.<br>PvE 최대 물리 대미지 + 1,1,1,1,,,,,,,,
